tsne1,tsne2,tsne3,class
30.07217,49.700306,-42.73408,inside
-34.722507,27.796183,-26.254765,drink
69.54017,23.849306,59.627987,drink
-36.057373,119.99218,12.385361,outside
6.8215165,42.868748,-43.967857,inside
94.850266,66.00829,9.855323,outside
10.770463,57.219307,-47.734325,inside
68.13788,78.93789,17.747177,outside
27.60095,77.733475,-44.14566,outside
96.08127,33.595795,-2.9094698,inside
48.989517,21.937906,5.6667433,inside
-11.05431,4.6674266,-24.74104,inside
37.50725,-19.331722,-33.684063,drink
34.083405,82.354034,-10.805175,outside
-10.113331,80.50686,-11.458868,outside
7.995163,7.441957,-34.882137,inside
79.8628,5.2164583,25.53615,drink
39.95554,-60.551697,10.993844,drink
102.028046,-22.238577,-11.984967,drink
-8.384093,81.334175,7.68209,outside
-13.448241,74.36657,-71.579384,outside
39.309795,77.78637,0.8604443,outside
17.611061,60.988388,39.40267,outside
88.59178,-56.528664,-7.6822724,drink
43.276756,30.854065,-9.726692,inside
14.034433,-46.832947,36.202034,drink
-10.432127,-39.106457,-67.19147,inside
39.636013,75.70546,-41.814068,outside
-36.32346,97.65967,-26.38713,outside
2.836831,119.02083,7.2978415,outside
59.62235,-1.5286847,57.709175,drink
38.315876,-58.700657,-34.93087,drink
65.97892,81.6881,-55.46342,outside
69.215324,-35.263836,-3.7621884,drink
-8.936605,35.48157,-47.55535,inside
36.802505,20.182636,-9.851393,inside
-59.501366,55.407433,72.06417,inside
20.72357,42.10754,-3.802821,inside
-7.74251,19.609936,6.1616774,inside
55.814945,91.38218,-43.099953,outside
74.9816,-10.979436,-20.2617,drink
8.576089,9.34,20.372507,inside
8.492018,43.172142,-23.445559,inside
61.797096,57.702774,17.596197,outside
16.870358,34.030743,-59.05495,inside
-3.1963246,3.1825852,-14.1437235,inside
82.26176,31.69647,-19.092276,outside
0.18856592,-4.053404,-19.543695,inside
-23.971773,33.480076,-11.715222,inside
53.289536,38.66001,-0.35803166,outside
42.937,4.5537353,22.149506,inside
0.45387128,19.172297,-57.989906,inside
11.773872,-2.209909,-69.40165,inside
-2.2538452,43.144733,29.6439,inside
61.357952,-70.78308,-13.072852,drink
69.94476,-70.142654,-46.188103,drink
-4.723507,44.47846,-11.899937,inside
25.652548,83.36401,20.69182,outside
68.0368,-46.084904,-6.6655807,drink
-40.94718,-18.950666,29.683083,inside
81.33148,-3.0828319,-22.091856,drink
28.41485,3.0142362,-15.672485,inside
-16.826036,114.58596,10.530364,outside
31.121014,41.532932,-10.930204,inside
92.30669,51.046833,-35.37305,inside
34.484924,64.239876,2.4756587,outside
-1.5010806,84.54205,-12.870781,outside
-19.372787,102.15027,30.571209,outside
12.39853,90.12122,-42.131065,outside
27.437902,-35.585403,32.47613,drink
54.551052,53.77714,-52.38755,outside
45.546196,92.55968,-46.52395,outside
34.502815,90.525696,-45.878063,outside
47.680653,-13.559532,-36.6791,drink
-76.86565,20.68963,35.841953,menu
-1.1640191,102.45921,5.431777,outside
98.89682,-58.54727,-22.602245,drink
27.891897,70.8,-27.131552,outside
41.602306,-37.186317,50.599056,drink
-39.626545,107.982124,-6.3837194,outside
85.19388,-16.753456,-11.853187,drink
-47.840473,114.76509,-15.869245,outside
22.774965,-53.93306,42.439026,drink
27.995747,-42.33371,28.148624,drink
3.2572486,-3.3523629,22.16775,outside
25.952618,-37.129654,73.63643,drink
76.378525,-49.93005,4.2634063,drink
-75.26876,25.251928,-54.762638,outside
69.3193,-9.597466,13.143149,drink
73.49812,-42.981834,35.5436,drink
31.136702,-86.3419,29.546526,drink
-47.12661,-22.9039,5.644196,menu
34.76383,-57.381058,32.39556,drink
72.31927,-39.892307,-21.532097,drink
24.697517,-84.64438,-45.819756,drink
-2.4319332,58.673687,-40.896477,outside
9.489129,62.580345,12.345892,outside
33.45186,-84.34142,42.91531,drink
16.137457,77.2268,0.7694872,outside
11.414762,95.54006,8.230045,outside
52.987408,50.732925,-14.203672,outside
53.465416,-71.540115,14.219081,drink
50.150978,-2.4985657,45.333324,drink
42.74175,-49.783817,37.45492,drink
24.132559,-54.973713,58.551994,drink
-31.158802,80.604004,-21.930946,outside
-13.097495,7.4017825,19.657316,outside
-24.605492,115.81833,-3.8094568,outside
55.069855,109.310875,-8.00282,outside
22.638588,-7.8602304,-4.6991563,outside
-0.93408996,76.11138,-5.328301,outside
-19.030546,64.37444,-27.48118,outside
-36.838314,77.09532,-30.530155,outside
30.40334,79.69606,5.63589,outside
50.563164,84.3066,-4.2668037,outside
66.75025,79.11226,-3.0480795,outside
58.18433,117.31124,-18.00377,outside
17.57073,84.92962,-16.879166,outside
11.163304,81.073364,-50.30776,outside
21.007624,80.696304,-39.75804,outside
56.05824,-27.727943,-48.979076,drink
92.25404,-9.75723,45.821682,outside
70.42808,88.03321,-34.297142,outside
-16.327204,69.20681,-19.463932,outside
83.04887,-47.073154,-26.858799,drink
54.54481,-67.64598,-35.044193,drink
47.9787,-51.0305,-2.466207,drink
61.008526,-14.029844,-4.710598,drink
5.0644374,107.83679,-15.27038,outside
19.5496,-55.4428,29.511662,drink
48.220215,37.57163,42.226242,outside
61.878544,65.78741,-13.62479,outside
47.094734,88.84946,-53.982784,outside
41.411007,-102.31973,24.11849,drink
50.407986,-37.911877,-33.152676,drink
45.556374,-53.573944,-31.25127,drink
-12.761437,124.449326,19.734608,outside
68.93205,0.51195824,-54.80933,drink
47.388557,9.699664,44.24739,drink
92.31218,-21.066826,-9.839952,drink
57.951958,-37.33247,-13.8494215,drink
72.12771,18.872969,19.924305,outside
58.10354,-20.898796,-36.71813,drink
-9.531616,46.58288,9.497997,outside
53.275875,-34.461563,-58.93757,drink
52.554653,-89.509766,38.88296,drink
-42.51701,96.57221,-35.335293,outside
46.087795,-26.605846,11.241198,drink
-43.527267,46.395535,-44.450397,outside
14.334595,57.7866,25.66465,outside
36.69488,-70.78507,25.064001,drink
63.591732,91.01501,-13.983567,outside
-33.173588,62.14691,-60.557453,outside
70.93025,-15.719885,-38.68736,drink
69.46044,-22.368172,34.223415,drink
47.057316,-66.84101,-19.481293,drink
-27.328444,100.04828,-16.119392,outside
-41.25662,41.985012,-58.851875,outside
30.67299,39.12058,79.556274,outside
93.40267,-43.22625,-15.82658,drink
15.3247175,104.99565,27.45758,outside
62.649445,-30.489569,-8.645857,drink
39.665047,-66.36439,3.6397157,drink
-21.056229,-16.866863,-23.399755,drink
23.224243,-17.126844,22.920296,drink
22.921886,118.02593,-1.1756183,outside
46.32128,111.36835,8.053013,outside
45.91383,-54.28402,-11.185885,drink
5.211844,87.320305,17.348047,outside
41.721485,-48.096333,54.25201,drink
45.577114,-107.849815,19.724537,drink
42.40198,64.06565,-2.9192057,outside
22.767431,72.42043,9.521985,outside
90.94068,-51.574516,-27.931627,drink
76.96722,19.68085,58.562164,drink
45.38684,-88.44938,13.292166,drink
89.10407,-21.18365,-32.158333,drink
17.135191,-87.0036,19.208698,drink
61.884262,-20.852837,-52.15014,drink
64.55267,-79.62736,-24.622053,drink
47.22356,76.70976,14.657035,outside
38.533592,-70.377396,40.26461,drink
44.04604,-68.67941,-8.831805,drink
-37.724964,78.010605,5.016857,outside
-17.804684,95.67955,-8.337607,outside
-41.224094,68.0201,6.449603,outside
34.35812,-51.872166,50.038086,drink
-15.637685,96.70903,22.669271,outside
56.9458,-70.92466,-1.9103897,drink
75.195595,-28.398193,-11.437288,drink
7.661033,75.17031,-13.890424,outside
26.307768,109.27639,0.4659406,outside
45.643585,108.4485,-0.8698445,outside
63.003952,-51.93414,7.832714,drink
10.677425,79.773476,-29.414688,outside
16.758997,-78.750206,43.472347,drink
77.114006,-59.75631,-33.730564,drink
85.53754,-42.06034,16.171486,drink
-0.108190514,87.850075,31.995264,outside
-31.201765,88.452644,7.51186,outside
19.595034,90.28002,-51.08381,outside
25.6464,-25.02111,-44.307903,drink
-6.9489436,118.28984,-12.531114,outside
-25.282488,102.90536,2.966676,outside
88.20365,-40.199993,-42.527557,drink
80.27498,-38.87533,-4.0920353,drink
68.176735,-40.64294,5.0667124,drink
60.157516,-42.488304,-0.09182273,drink
62.0023,27.01194,-50.42319,outside
0.6868184,77.33061,-37.6698,outside
40.681126,-79.6414,36.327248,drink
44.269943,55.01932,3.0883822,outside
-58.97815,74.16368,-15.088768,outside
96.68605,-29.128195,34.876396,drink
12.848821,-58.395653,37.002808,drink
68.02935,-33.337673,33.607666,drink
66.20021,-22.489182,-27.974972,drink
-28.033653,-11.268927,-39.243427,outside
-19.02514,78.655136,-6.1179285,outside
48.71286,-25.813128,-41.445786,drink
36.444607,-6.048592,46.379227,outside
-29.411926,91.049194,-26.396097,outside
-67.73492,46.97434,45.63664,menu
19.745024,-63.02383,20.571613,drink
-33.08745,94.49395,1.2451173,outside
40.5898,-44.84009,-50.91306,drink
-32.321053,109.78342,15.815251,outside
69.47991,-4.4978304,42.980103,drink
