tsne1,tsne2,tsne3,class
-92.18255,-88.88176,45.769943,drink
-62.445232,-107.06292,-105.77189,outside
131.49715,-161.32774,4.6408553,drink
-42.84166,-22.921576,-221.00586,outside
-81.37233,-73.464615,133.86162,drink
62.12784,-44.3173,-240.00996,outside
-62.72725,-16.74599,158.04749,drink
-32.587082,-63.761604,63.543755,drink
73.0481,158.30963,-105.81761,outside
122.22859,-160.6517,-39.534157,drink
-33.982796,-184.44696,10.797612,drink
-41.10843,77.15674,-225.40329,outside
34.01245,-167.60374,1.8947889,drink
141.04173,-67.585434,29.619957,drink
75.577225,-122.0904,20.746983,drink
79.50836,28.364069,75.23924,menu
32.913876,-97.52926,132.80545,drink
-8.480224,-227.734,88.889725,drink
239.41737,14.387745,65.42358,drink
-186.51428,-10.468154,-33.030052,outside
-88.40745,16.940239,-185.60007,outside
75.211235,-63.327946,104.26097,drink
125.47081,-47.69523,-205.01373,outside
32.955437,26.83098,-205.06032,outside
-145.47958,75.11004,109.74359,outside
94.86077,-193.91306,110.57431,drink
-104.93956,-131.50995,1.6647292,drink
139.74915,-124.78706,71.88457,drink
-113.73833,42.254227,98.10965,drink
-71.35933,-22.210608,-138.41017,outside
119.26217,128.84608,-106.02424,outside
18.253094,-186.5936,-154.10083,outside
-20.770435,-94.16118,-85.15668,outside
-54.623615,46.612392,-79.47134,outside
-46.666843,-40.172665,-159.22975,outside
25.079834,185.18727,-163.54445,outside
100.25047,118.7791,-187.72612,outside
-120.382866,-55.31282,-144.84367,outside
-58.82009,137.3489,-140.8772,outside
-133.04466,16.56573,-209.31711,outside
-101.2468,-127.00544,-116.19436,outside
-176.50577,-86.2152,-90.2501,outside
-65.13994,-21.534729,16.358768,outside
-128.96571,-98.578835,-82.47891,outside
26.171825,-151.38872,118.233795,drink
35.42621,-232.36406,-73.29636,outside
-24.340353,-232.71136,-77.9963,outside
-96.9239,-50.6076,-103.003006,outside
2.8590915,-12.586555,39.297615,drink
146.89093,-41.556503,77.07594,drink
49.693825,-180.65063,60.426083,drink
6.3626227,-195.7813,-61.439617,drink
-99.62532,-28.302055,-178.76045,outside
-45.284283,-55.340046,148.56854,drink
-205.58543,-13.909633,135.06758,outside
-35.18115,194.111,-155.78204,outside
38.43084,-105.30288,-94.94337,outside
47.10026,-96.16311,3.0475578,drink
-58.318302,-68.62513,225.24821,drink
4.063066,-244.18103,-26.537678,drink
131.56895,148.44058,-149.97668,outside
-36.284386,-159.46619,-26.115705,drink
-72.122536,64.500786,14.752239,drink
26.175938,-157.94186,45.307224,drink
-117.57292,-156.0532,147.42326,drink
143.97565,-96.61789,-176.05392,outside
58.058113,-162.10161,166.84589,drink
-96.96704,66.65413,-211.71422,outside
39.497147,-164.84435,-40.52912,drink
179.73917,-130.95654,96.80995,drink
104.502594,16.391111,-185.95952,outside
69.56207,-149.84286,-11.464273,drink
90.68917,119.81036,-138.82425,outside
-77.22595,1.2293909,-108.82618,outside
106.51017,-78.886826,140.1033,drink
24.432545,-3.7813811,-104.6866,outside
51.325104,-24.812553,-128.53035,outside
-28.717554,-164.77974,104.78507,drink
43.67468,-198.70628,18.400423,drink
-67.52501,-100.52401,70.66548,drink
